_id,Region,Provincia,Comuna,Localidad,Destino,Nombre Establecimiento,Calle,Numero,Otro,Fono Gerencia o Adm.,Web
58,LOS RÍOS,VALDIVIA,PANGUIPULLI,COÑARIPE,Lago Panguipulli y Lago Ranco,TURISMO EXPEDICIONES COÑARIPE,GUIDO BECK DE RAMBERGA - COÑARIPE,927,COÑARIPE,95359843,-
59,LOS RÍOS,RANCO,LA UNION,LA UNIÓN (P),Ranco,GERMAN BARRIOS CANDIA,VILLA SANTA BARBARA,5,SERVICIO DE TRANSPORTE EJECUTIVO,89783524,-
60,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,agentour arica,calle 2,3492,poblacion juan pablo segundo,97424449,-
61,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,BEACH AND SUN,PASAJE 13,1089,POB. JUAN NOE,99160333,-
62,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,JOSE VELIZ,LAGUNILLAS,8,POBLACION TACORA 8,98660605,-
63,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,Karekima Tours,peñaflor,1950,arica 2,85955572,-
64,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,LUIS LOPEZ,PANAMERICANA NORTE,3553,DEPTO 13,97432412,-
65,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,SERVITUR RO-CAR,LAGUNILLAS,859,POB R.S.H,98763684,-
66,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,SOLINTITOUR,LOS CIPRECES,2771,-,99092542 - 82968386,-
67,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,Transportes Almendra y Agustin,Ginebra,3573,-,313861,-
68,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,Transportes Sejas,Parque Pucarani,4041,-,2290862,-
69,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,TURISMO AL INSTANTE,PASAJE AGUIRRE LUCO,1461,-,-,-
